,Unnamed: 0,100,200,300,400,500,600,700,800,900,1000
0,Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Hannanum,0.95,0.975,0.987,0.98,0.9740000000000001,0.9670000000000001,0.956,0.951,0.9420000000000001,0.9540000000000001
2,Khaiii,2.73,2.725,2.74,2.77,2.762,2.77,2.7769999999999997,2.766,2.758,2.759
3,Kiwi,2.21,2.22,2.263,2.265,2.2640000000000002,2.285,2.291,2.289,2.302,2.3
4,Kkma,2.84,2.815,2.9,2.908,2.8739999999999997,2.883,2.877,2.8810000000000002,2.883,2.888
5,Komoran,2.38,2.41,2.4330000000000003,2.472,2.4659999999999997,2.472,2.461,2.441,2.441,2.439
6,Mecab,2.45,2.5,2.5469999999999997,2.59,2.5540000000000003,2.565,2.5839999999999996,2.5980000000000003,2.596,2.593
7,None,0.71,0.685,0.653,0.6579999999999999,0.64,0.635,0.633,0.626,0.632,0.629
8,Okt,3.61,3.47,3.4530000000000003,3.4619999999999997,3.45,3.457,3.45,3.4389999999999996,3.449,3.452
9,Spm,2.5,2.565,2.6069999999999998,2.63,2.6260000000000003,2.657,2.679,2.7089999999999996,2.6919999999999997,2.6860000000000004
10,Jamo,0.49,0.495,0.507,0.515,0.524,0.523,0.517,0.516,0.509,0.51
11,Character,3.32,3.285,3.253,3.295,3.304,3.2969999999999997,3.299,3.312,3.301,3.281
12,Time,5.1592679023742685,5.097404479980469,5.071202278137207,5.13854455947876,5.08564019203186,5.143747329711914,5.130599021911621,5.0944790840148935,5.0986762046813965,5.07686448097229
